iter	Passed	Remaining
344	2785	5289
345	2794	5281
346	2803	5275
347	2811	5267
348	2820	5261
349	2829	5255
350	2838	5249
351	2846	5240
352	2855	5232
353	2862	5224
354	2871	5217
355	2880	5210
356	2887	5201
357	2896	5193
358	2903	5184
359	2911	5176
360	2920	5168
361	2929	5162
362	2936	5152
363	2944	5143
364	2951	5135
365	2959	5126
366	2968	5119
367	2976	5111
368	2987	5109
369	3000	5108
370	3011	5105
371	3020	5099
372	3029	5091
373	3036	5082
374	3043	5072
375	3051	5063
376	3058	5053
377	3066	5045
378	3073	5035
379	3080	5025
380	3086	5015
381	3094	5005
382	3101	4995
383	3107	4985
384	3115	4976
385	3121	4965
386	3129	4957
387	3137	4948
388	3145	4940
389	3152	4930
390	3159	4921
391	3166	4911
392	3174	4902
393	3181	4893
394	3188	4883
395	3196	4874
396	3202	4864
397	3210	4856
398	3217	4846
399	3225	4837
400	3232	4828
401	3239	4818
402	3247	4810
403	3254	4800
404	3261	4791
405	3269	4783
406	3276	4773
407	3283	4764
408	3291	4755
409	3298	4746
410	3305	4737
411	3312	4728
412	3319	4718
413	3327	4709
414	3334	4699
415	3341	4691
416	3349	4682
417	3355	4672
418	3363	4663
419	3370	4654
420	3378	4646
421	3384	4636
422	3391	4626
423	3398	4616
424	3405	4607
425	3412	4597
426	3419	4588
427	3427	4580
428	3434	4571
429	3442	4562
430	3449	4553
431	3457	4546
432	3464	4536
433	3472	4528
434	3479	4519
435	3486	4510
436	3494	4501
437	3500	4491
438	3508	4483
439	3515	4474
440	3523	4465
441	3530	4456
442	3537	4448
443	3545	4439
444	3553	4431
445	3561	4423
446	3568	4414
447	3575	4405
448	3583	4397
449	3591	4389
450	3598	4380
451	3606	4372
452	3613	4363
453	3621	4355
454	3629	4347
455	3637	4339
456	3645	4332
457	3655	4325
458	3663	4317
459	3670	4309
460	3678	4300
461	3686	4292
462	3694	4284
463	3701	4276
464	3709	4267
465	3716	4258
466	3723	4249
467	3731	4241
468	3738	4232
469	3745	4223
470	3752	4215
471	3759	4206
472	3767	4197
473	3775	4189
474	3782	4181
475	3790	4173
476	3798	4164
477	3806	4156
478	3814	4148
479	3821	4140
480	3828	4131
481	3837	4123
482	3844	4115
483	3853	4108
484	3861	4100
485	3869	4092
486	3877	4084
487	3886	4077
488	3895	4070
489	3903	4063
490	3912	4055
491	3920	4047
492	3928	4040
493	3937	4032
494	3945	4025
495	3953	4017
496	3961	4009
497	3969	4000
498	3976	3992
499	3983	3983
500	3990	3974
501	3998	3966
502	4006	3958
503	4014	3950
504	4021	3942
505	4029	3934
506	4037	3926
507	4044	3917
508	4052	3909
509	4060	3900
510	4067	3892
511	4075	3883
512	4082	3875
513	4089	3866
514	4097	3858
515	4103	3849
516	4110	3840
517	4118	3831
518	4125	3823
519	4132	3814
520	4138	3804
521	4146	3796
522	4152	3787
523	4159	3778
524	4166	3769
525	4173	3760
526	4180	3751
527	4186	3742
528	4194	3734
529	4201	3725
530	4208	3716
531	4216	3708
532	4223	3700
533	4230	3691
534	4237	3683
535	4245	3674
536	4251	3666
537	4259	3657
538	4266	3649
539	4274	3641
540	4282	3632
541	4290	3625
542	4297	3617
543	4305	3609
544	4313	3601
545	4321	3593
546	4330	3586
547	4338	3578
548	4345	3570
549	4353	3561
550	4361	3554
551	4367	3544
552	4375	3537
553	4383	3528
554	4391	3521
555	4398	3512
556	4406	3504
557	4414	3496
558	4422	3488
559	4429	3480
560	4436	3472
561	4444	3463
562	4451	3455
563	4459	3447
564	4467	3439
565	4476	3432
566	4484	3424
567	4493	3417
568	4500	3409
569	4510	3402
570	4521	3397
571	4533	3392
572	4552	3392
573	4565	3388
574	4579	3384
575	4592	3380
576	4602	3374
577	4610	3366
578	4618	3358
579	4626	3350
580	4634	3342
581	4642	3334
582	4650	3326
583	4658	3318
584	4666	3310
585	4674	3302
586	4682	3294
587	4689	3285
588	4697	3277
589	4705	3269
590	4711	3260
591	4718	3252
592	4725	3243
593	4732	3234
594	4739	3226
595	4746	3217
596	4753	3208
597	4760	3200
598	4767	3191
599	4775	3183
600	4782	3175
601	4789	3166
602	4796	3157
603	4803	3149
604	4810	3140
605	4816	3131
606	4823	3123
607	4829	3113
608	4836	3104
609	4842	3095
610	4848	3087
611	4855	3078
612	4862	3069
613	4869	3061
614	4875	3052
615	4882	3043
616	4888	3034
617	4895	3026
618	4902	3017
619	4909	3008
620	4915	3000
621	4922	2991
622	4928	2982
623	4935	2973
624	4941	2965
625	4948	2956
626	4954	2947
627	4961	2939
628	4968	2930
629	4974	2921
630	4980	2912
631	4987	2903
632	4993	2895
633	5001	2887
634	5007	2878
635	5014	2869
636	5021	2861
637	5027	2852
638	5034	2844
639	5040	2835
640	5046	2826
641	5053	2818
642	5060	2809
643	5067	2801
644	5074	2793
645	5082	2784
646	5089	2776
647	5095	2768
648	5103	2759
649	5110	2751
650	5117	2743
651	5126	2736
652	5135	2728
653	5143	2721
654	5152	2713
655	5160	2705
656	5168	2698
657	5176	2690
658	5183	2682
659	5191	2674
660	5200	2666
661	5208	2659
662	5215	2651
663	5222	2642
664	5229	2634
665	5236	2625
666	5244	2618
667	5250	2609
668	5258	2601
669	5266	2593
670	5272	2585
671	5280	2577
672	5287	2569
673	5295	2561
674	5301	2552
675	5309	2544
676	5316	2536
677	5324	2528
678	5331	2520
679	5338	2512
680	5346	2504
681	5354	2496
682	5362	2488
683	5369	2480
684	5377	2472
685	5384	2464
686	5392	2456
687	5400	2448
688	5407	2441
689	5415	2433
690	5424	2425
691	5431	2417
692	5440	2409
693	5447	2401
694	5455	2394
695	5462	2386
696	5470	2378
697	5478	2370
698	5486	2362
699	5493	2354
700	5501	2346
701	5509	2338
702	5517	2330
703	5525	2323
704	5533	2315
705	5541	2307
706	5549	2299
707	5556	2291
708	5564	2283
709	5572	2276
710	5579	2267
711	5587	2260
712	5594	2251
713	5602	2244
714	5609	2236
715	5617	2228
716	5624	2220
717	5631	2211
718	5639	2204
719	5647	2196
720	5655	2188
721	5662	2180
722	5671	2172
723	5679	2165
724	5687	2157
725	5695	2149
726	5704	2142
727	5711	2134
728	5720	2126
729	5727	2118
730	5735	2110
731	5743	2102
732	5751	2095
733	5758	2087
734	5766	2079
735	5774	2071
736	5781	2063
737	5790	2055
738	5798	2047
739	5807	2040
740	5814	2032
741	5822	2024
742	5831	2017
743	5839	2009
744	5847	2001
745	5855	1993
746	5863	1985
747	5872	1978
748	5879	1970
749	5887	1962
750	5895	1954
751	5902	1946
752	5909	1938
753	5917	1930
754	5924	1922
755	5931	1914
756	5938	1906
757	5946	1898
758	5953	1890
759	5960	1882
760	5968	1874
761	5976	1866
762	5983	1858
763	5990	1850
764	5998	1842
765	6006	1834
766	6015	1827
767	6024	1820
768	6034	1812
769	6043	1805
770	6052	1797
771	6060	1789
772	6076	1784
773	6101	1781
774	6110	1774
775	6119	1766
776	6127	1758
777	6135	1750
778	6142	1742
779	6149	1734
780	6155	1726
781	6162	1718
782	6170	1709
783	6179	1702
784	6186	1694
785	6194	1686
786	6202	1678
787	6212	1671
788	6219	1663
789	6227	1655
790	6235	1647
791	6244	1640
792	6252	1631
793	6260	1624
794	6267	1616
795	6274	1608
796	6282	1600
797	6290	1592
798	6297	1584
799	6304	1576
800	6311	1567
801	6318	1559
802	6325	1551
803	6332	1543
804	6340	1535
805	6347	1527
806	6354	1519
807	6361	1511
808	6369	1503
809	6376	1495
810	6383	1487
811	6390	1479
812	6397	1471
813	6404	1463
814	6412	1455
815	6419	1447
816	6426	1439
817	6432	1431
818	6440	1423
819	6448	1415
820	6455	1407
821	6461	1399
822	6468	1391
823	6475	1383
824	6483	1375
825	6491	1367
826	6498	1359
827	6506	1351
828	6513	1343
829	6521	1335
830	6529	1327
831	6537	1320
832	6544	1312
833	6551	1304
834	6558	1296
835	6566	1288
836	6572	1279
837	6579	1271
838	6587	1264
839	6595	1256
840	6603	1248
841	6609	1240
842	6616	1232
843	6623	1224
844	6630	1216
845	6638	1208
846	6646	1200
847	6656	1193
848	6665	1185
849	6673	1177
850	6680	1169
851	6687	1161
852	6693	1153
853	6700	1145
854	6707	1137
855	6713	1129
856	6721	1121
857	6727	1113
858	6735	1105
859	6743	1097
860	6751	1089
861	6759	1082
862	6767	1074
863	6774	1066
864	6781	1058
865	6789	1050
866	6796	1042
867	6803	1034
868	6810	1026
869	6816	1018
870	6823	1010
871	6830	1002
872	6837	994
873	6843	986
874	6850	978
875	6858	970
876	6865	962
877	6872	954
878	6879	947
879	6886	939
880	6893	931
881	6901	923
882	6907	915
883	6914	907
884	6920	899
885	6927	891
886	6934	883
887	6940	875
888	6948	867
889	6954	859
890	6962	851
891	6968	843
892	6975	835
893	6982	827
894	6988	819
895	6994	811
896	7001	803
897	7008	796
898	7015	788
899	7021	780
900	7028	772
901	7034	764
902	7040	756
903	7047	748
904	7053	740
905	7060	732
906	7068	724
907	7075	716
908	7082	709
909	7090	701
910	7096	693
911	7103	685
912	7109	677
913	7117	669
914	7124	661
915	7132	654
916	7140	646
917	7147	638
918	7155	630
919	7162	622
920	7169	615
921	7177	607
922	7185	599
923	7192	591
924	7200	583
925	7206	575
926	7212	567
927	7219	560
928	7226	552
929	7233	544
930	7240	536
931	7247	528
932	7254	520
933	7261	513
934	7268	505
935	7275	497
936	7282	489
937	7290	481
938	7297	474
939	7304	466
940	7311	458
941	7318	450
942	7326	442
943	7333	435
944	7341	427
945	7348	419
946	7356	411
947	7364	403
948	7372	396
949	7379	388
950	7388	380
951	7396	372
952	7404	365
953	7411	357
954	7418	349
955	7425	341
956	7433	333
957	7440	326
958	7448	318
959	7455	310
960	7463	302
961	7471	295
962	7478	287
963	7485	279
964	7493	271
965	7500	264
966	7508	256
967	7515	248
968	7522	240
969	7531	232
970	7539	225
971	7547	217
972	7555	209
973	7562	201
974	7571	194
975	7580	186
976	7592	178
977	7607	171
978	7621	163
979	7633	155
980	7644	148
981	7653	140
982	7660	132
983	7667	124
984	7674	116
985	7681	109
986	7687	101
987	7695	93
988	7701	85
989	7709	77
990	7716	70
991	7723	62
992	7731	54
993	7738	46
994	7745	38
995	7752	31
996	7760	23
997	7767	15
998	7775	7
999	7783	0
