iter	Logloss
0	0.6657595901
1	0.6433060693
2	0.6251060093
3	0.6104857417
4	0.5984548913
5	0.5891256299
6	0.5812251188
7	0.5751499866
8	0.5706078183
9	0.5666991033
10	0.5629314205
11	0.5602835813
12	0.5577686488
13	0.555605923
14	0.5536897416
15	0.5524258977
16	0.5511170012
17	0.5500528071
18	0.5490558009
19	0.5482227114
20	0.5475143227
21	0.5468630304
22	0.5463274488
23	0.5457572202
24	0.5452724313
25	0.5448749538
26	0.5445346704
27	0.5442198993
28	0.5439035828
29	0.5436663924
30	0.5434205267
31	0.5432046223
32	0.5430308421
33	0.5427863367
34	0.5425750816
35	0.5424028757
36	0.5422501595
37	0.5421553263
38	0.5419671957
39	0.5418157302
40	0.5416430404
41	0.5415258189
42	0.5414122109
43	0.5413040304
44	0.5412180346
45	0.5411345571
46	0.5410729092
47	0.5409666113
48	0.5408107367
49	0.5407270353
50	0.540590915
51	0.5404768382
52	0.5403975045
53	0.5403075183
54	0.5402410684
55	0.5401462011
56	0.5400951647
57	0.540049639
58	0.5399705163
59	0.5398517978
60	0.5398126873
61	0.5397627731
62	0.5396584402
63	0.5396002778
64	0.5395725591
65	0.5395006499
66	0.5394535679
67	0.539389424
68	0.539302064
69	0.5392300765
70	0.5391812915
71	0.5391037008
72	0.5390418135
73	0.5389991491
74	0.5389382952
75	0.5388393539
76	0.53877338
77	0.5387120579
78	0.5386878234
79	0.5386290346
80	0.5385899775
81	0.538510224
82	0.5384408954
83	0.5383977713
84	0.5383208808
85	0.5382677965
86	0.5382019531
87	0.538143826
88	0.5381063034
89	0.5380543564
90	0.5379969408
91	0.5379300158
92	0.5378650464
93	0.5378025896
94	0.5377627112
95	0.5377053941
96	0.5376686369
97	0.537631436
98	0.5376001106
99	0.5375558167
100	0.53749511
101	0.5374523617
102	0.5373848978
103	0.5373167689
104	0.5372278974
105	0.5371802053
106	0.5370791036
107	0.5370512598
108	0.5370079309
109	0.5369495098
110	0.5368935906
111	0.536865581
112	0.53678664
113	0.5367633927
114	0.5366463874
115	0.5365824627
116	0.5365411646
117	0.5364881137
118	0.5364471967
119	0.5363492565
120	0.5362625554
121	0.5361773931
122	0.5361366669
123	0.5360961257
124	0.5360336638
125	0.5360098972
126	0.5359398898
127	0.535910022
128	0.5358191604
129	0.5357685417
130	0.5357107775
131	0.535693073
132	0.5355214703
133	0.5354523952
134	0.5354168998
135	0.5353768951
136	0.5353059772
137	0.5352881819
138	0.5352159534
139	0.5351563916
140	0.5350660933
141	0.534999147
142	0.5349947162
143	0.5349280766
144	0.534887468
145	0.5348361319
146	0.5347734947
147	0.5347194616
148	0.5346476373
149	0.5345734798
150	0.5345046004
151	0.5344573773
152	0.5344549213
153	0.5344016177
154	0.534363721
155	0.5343514701
156	0.5342906475
157	0.534208316
158	0.5341909562
159	0.5341359459
160	0.5341167437
161	0.5340492536
162	0.5339811814
163	0.5339236344
164	0.5338490802
165	0.5338070272
166	0.5338046357
167	0.5337665352
168	0.5336871171
169	0.5336484901
170	0.533599411
171	0.5334838368
172	0.533438817
173	0.5333498645
174	0.5333100684
175	0.5332511016
176	0.5331834055
177	0.5331498847
178	0.5330649899
179	0.5329997469
180	0.5329674119
181	0.5328937086
182	0.532890825
183	0.532815029
184	0.53276519
185	0.5327173256
186	0.5326268609
187	0.5325808465
188	0.5324875783
189	0.5324564856
190	0.5323838261
191	0.5323266476
192	0.532287365
193	0.5322431136
194	0.5322402296
195	0.5321946745
196	0.5321654285
197	0.5321198414
198	0.532064703
199	0.5320032154
200	0.5319444657
201	0.531870239
202	0.5318279211
203	0.5318038677
204	0.5317588097
205	0.5317169851
206	0.5316843366
207	0.5316245085
208	0.5315900126
209	0.5315356544
210	0.5314771948
211	0.5314559612
212	0.5314102295
213	0.5313780929
214	0.5313236999
215	0.531268255
216	0.5312117176
217	0.5311914494
218	0.5311150945
219	0.5310739395
220	0.5310226238
221	0.5309935598
222	0.5309435467
223	0.5308992237
224	0.5308431292
225	0.5307783839
226	0.5307349012
227	0.5307140424
228	0.5306800202
229	0.5306049084
230	0.5305547031
231	0.5305086893
232	0.5304708228
233	0.5304537543
234	0.5304161844
235	0.5303999201
236	0.5303336424
237	0.5302858626
238	0.5302454129
239	0.5301848778
240	0.5301409904
241	0.5300788645
242	0.5300567687
243	0.5300251055
244	0.5299918197
245	0.5299500051
246	0.5299064196
247	0.5298534007
248	0.5298076059
249	0.5297291498
